Name,ID No,Department,DOB,City,Year
,,,,,
Jay Butani,21IT407,Information technology,31-07-2004,Surat,2021
Shubham Vanani,22IT603,Information technology,06-07-2003,Surat,2022
Prince Beladiya,22IT605,Information technology,14-01-2004,Surat,2022
Abhishek Nalla,22CP603,Computer Engineering,09-04-2003,Vadodara,2022
Meet Mistry,22CP605,Computer Engineering,19-08-2003,Valsad,2022
Jignesh Vasava,21ME401,Mechanical Engineering,21-02-2004,Jamnagar,2021
Poorna Patel,22IT607,Information technology,29-01-2003,Rajkot,2022
Amar Singh,21IT409,Information technology,30-01-2003,Surat,2021
Ajay Shah,21CP409,Computer Engineering,31-01-2003,Surat,2021
Sujal Sutariya,19CP608,Computer Engineering,01-02-2003,Surat,2019
Raj Kapoor,19EC609,Electrical Engineering,06-07-2003,Vadodara,2019
Deesha Patel,21EC406,Electrical Engineering,14-01-2004,Valsad,2021
Rinkal Das,22IT551,Information technology,09-04-2003,Jamnagar,2022
Shreya Suthar,22IT552,Information technology,05-02-2003,Rajkot,2022
Ram Charan,22IT553,Information technology,06-02-2003,Surat,2022
Allu Arjun,22IT554,Information technology,19-08-2003,Surat,2022
Salman Khan,21IT456,Information technology,21-02-2004,Surat,2021
Rajesh Chandra,21IT457,Information technology,29-01-2003,Vadodara,2021
Yash Raj,21IT458,Information technology,30-01-2003,Valsad,2021
Rajesh Kapoor,21IT459,Information technology,11-02-2003,Jamnagar,2021
